BGP table version is 294092, local router ID is 10.111.249.195
Status codes: s suppressed, d damped, h history, * valid, > best, i - internal, 
              r RIB-failure, S Stale, m multipath, b backup-path, f RT-Filter, 
              x best-external, a additional-path, c RIB-compressed, 
Origin codes: i - IGP, e - EGP, ? - incomplete
RPKI validation codes: V valid, I invalid, N Not found

     Network          Next Hop            Metric LocPrf Weight Path
 *   10.6.2.69/32     10.111.40.121                          0 13979 64901 64906 ?
 *   10.6.2.70/32     10.111.40.121                          0 13979 64901 64906 ?
 *   10.6.2.71/32     10.111.40.121                          0 13979 64901 64906 ?
 *   10.6.2.72/32     10.111.40.121                          0 13979 64901 64906 ?
 *   10.6.2.73/32     10.111.40.121                          0 13979 64901 64906 ?
 *   10.6.2.74/32     10.111.40.121                          0 13979 64901 64906 ?
 *   10.6.2.75/32     10.111.40.121                          0 13979 64901 64906 ?
 *   10.6.2.76/32     10.111.40.121                          0 13979 64901 64906 ?
 *   10.6.2.77/32     10.111.40.121                          0 13979 64901 64906 ?
 *   10.6.2.78/32     10.111.40.121                          0 13979 64901 64906 ?
 *   10.6.2.79/32     10.111.40.121                          0 13979 64901 64906 ?
 *   10.6.2.80/32     10.111.40.121                          0 13979 64901 64906 ?
 *   10.6.2.81/32     10.111.40.121                          0 13979 64901 64906 ?
 *   10.6.2.82/32     10.111.40.121                          0 13979 64901 64906 ?
