
BGP table version is 294092, local router ID is 10.111.249.195
Status codes: s suppressed, d damped, h history, * valid, > best, i - internal, 
              r RIB-failure, S Stale, m multipath, b backup-path, f RT-Filter, 
              x best-external, a additional-path, c RIB-compressed, 
Origin codes: i - IGP, e - EGP, ? - incomplete
RPKI validation codes: V valid, I invalid, N Not found

     Network          Next Hop            Metric LocPrf Weight Path
 *>  10.42.126.0/25   10.82.28.1                             0 65179 64950 64449 ?
 *>  10.42.126.128/25 10.82.28.1                             0 65179 64950 64449 ?
 *>  10.42.127.128/25 10.82.28.1                             0 65179 64950 64449 ?
 *>  10.42.208.128/25 10.82.28.1                             0 65179 64950 65030 ?
 *>  10.43.19.0/24    10.82.28.1                             0 65179 64950 64484 ?
 *>  10.43.38.0/25    10.82.28.3                             0 65179 64951 ?
 *>  10.43.39.0/25    10.82.28.1                             0 65179 64950 ?
 *>  10.43.40.0/25    10.82.28.1                             0 65179 64950 64147 ?
 *>  10.43.60.0/25    10.82.28.3                             0 65179 64951 ?
 *>  10.43.82.0/25    10.82.28.3                             0 65179 64951 ?
 *>  10.43.106.0/25   10.82.28.3                             0 65179 64951 ?
 *>  10.43.122.0/25   10.82.28.3                             0 65179 64951 ?
 *>  10.43.164.0/25   10.82.28.1                             0 65179 64951 ?
 *>  10.43.178.0/24   10.82.28.1                             0 65179 64950 65030 ?
 *>  10.43.208.0/25   10.82.28.3                             0 65179 64950 64087 ?
 *>  10.43.208.128/25 10.82.28.3                             0 65179 64950 64087 ?
 *>  10.43.209.0/25   10.82.28.3                             0 65179 64950 64087 ?
 *>  10.43.209.128/25 10.82.28.3                             0 65179 64950 64087 ?
 *>  10.43.210.0/27   10.82.28.3                             0 65179 64950 64087 ?
 *>  10.43.210.32/27  10.82.28.3                             0 65179 64950 64087 ?
 *>  10.43.210.64/27  10.82.28.3                             0 65179 64950 64087 ?
 *>  10.43.210.96/27  10.82.28.3                             0 65179 64950 64087 ?
 *>  10.43.210.192/27 10.82.28.3                             0 65179 64950 64087 ?
 *>  10.43.210.224/27 10.82.28.3                             0 65179 64950 64087 ?
 *>  10.43.211.128/25 10.82.28.3                             0 65179 64950 64087 ?
 *>  10.43.218.121/32 10.82.28.3                             0 65179 64951 64041 ?
 *>  10.43.244.0/25   10.82.28.1                             0 65179 64950 64144 ?
 *>  10.43.244.128/25 10.82.28.1                             0 65179 64950 64144 ?
 *>  10.43.245.0/25   10.82.28.1                             0 65179 64950 64144 ?
 *>  10.43.245.128/26 10.82.28.1                             0 65179 64950 64144 ?
 *>  10.44.1.0/25     10.82.28.1                             0 65179 64950 ?
 *>  10.44.35.0/25    10.82.28.1                             0 65179 64950 64191 ?
 *>  10.44.60.0/25    10.82.28.1                             0 65179 64950 ?
 *>  10.44.79.0/25    10.82.28.3                             0 65179 64950 ?
 *>  10.44.80.0/23    10.82.28.3                             0 65179 64951 ?
 *>  10.47.180.0/25   10.82.28.3                             0 65179 64951 ?
 *>  10.47.186.0/30   172.31.253.245                         0 13979 64400 i
 *>  10.47.186.4/30   172.31.253.245                         0 13979 64400 i
 *>  10.47.186.8/30   172.31.253.245                         0 13979 64400 i
 *>  10.47.186.12/30  172.31.253.245                         0 13979 64400 i
 *>  10.47.186.16/30  172.31.253.245                         0 13979 64400 i
 *>  10.47.186.20/32  172.31.253.245                         0 13979 64400 i
 *>  10.47.186.21/32  172.31.253.245                         0 13979 64400 i
 *>  10.47.186.48/28  172.31.253.245                         0 13979 64400 i
 *>  10.47.186.64/28  172.31.253.245                         0 13979 64400 i
 *>  10.47.186.80/28  172.31.253.245                         0 13979 64400 i
 *>  10.47.186.96/28  172.31.253.245                         0 13979 64400 i
 *>  10.47.186.112/28 172.31.253.245                         0 13979 64400 i
 *>  10.47.186.176/28 172.31.253.245                         0 13979 64400 i
